algo,emplacement,taille,temps,hauteur
progdyn,dataset1,100000,979632.2317123413,272566158
progdyn,dataset1,100000,844090.1999473572,279290810
progdyn,dataset1,100000,920132.3161125183,272583128
progdyn,dataset1,100000,827269.5560455322,274466655
progdyn,dataset1,100000,847728.3790111542,274216925
progdyn,dataset1,100000,796372.2770214081,275068656
progdyn,dataset1,100000,691643.6548233032,273323785
progdyn,dataset1,100000,685019.2019939423,275629236
progdyn,dataset1,100000,678110.141992569,271296576
progdyn,dataset1,100000,677275.2680778503,275324158
progdyn,dataset1,10000,10898.31805229187,8509310
progdyn,dataset1,10000,10573.399066925049,8434639
progdyn,dataset1,10000,10488.765954971313,8563003
progdyn,dataset1,10000,10757.90286064148,8157532
progdyn,dataset1,10000,10739.857912063599,8537261
progdyn,dataset1,10000,10737.049102783203,8280450
progdyn,dataset1,10000,10567.06976890564,8439627
progdyn,dataset1,10000,10862.567901611328,8534494
progdyn,dataset1,10000,10636.122226715088,8574119
progdyn,dataset1,10000,10564.006805419922,8517280
progdyn,dataset1,1000,6070.939779281616,246570
progdyn,dataset1,1000,6002.174139022827,249855
progdyn,dataset1,1000,6178.733825683594,270896
progdyn,dataset1,1000,6138.6120319366455,249865
progdyn,dataset1,1000,6066.816806793213,261304
progdyn,dataset1,1000,5970.887899398804,238127
progdyn,dataset1,1000,6079.442977905273,245162
progdyn,dataset1,1000,6014.46008682251,261056
progdyn,dataset1,1000,5989.696025848389,264884
progdyn,dataset1,1000,6157.259225845337,238498
progdyn,dataset1,100,6028.891086578369,6068
progdyn,dataset1,100,6352.488040924072,7297
progdyn,dataset1,100,5984.540939331055,5853
progdyn,dataset1,100,6037.255764007568,7070
progdyn,dataset1,100,6058.72106552124,6600
progdyn,dataset1,100,5974.522829055786,6397
progdyn,dataset1,100,5984.749794006348,7298
progdyn,dataset1,100,5978.955030441284,6892
progdyn,dataset1,100,5984.177827835083,6493
progdyn,dataset1,100,6092.78678894043,7908
progdyn,dataset1,50000,140728.33585739136,96964610
progdyn,dataset1,50000,141369.31991577148,97384688
progdyn,dataset1,50000,138455.31296730042,95373838
progdyn,dataset1,50000,139167.55199432373,96336923
progdyn,dataset1,50000,138199.9430656433,97122741
progdyn,dataset1,50000,142029.03699874878,96641259
progdyn,dataset1,50000,139892.3909664154,96791103
progdyn,dataset1,50000,138880.2318572998,96620868
progdyn,dataset1,50000,139026.2598991394,95527854
progdyn,dataset1,50000,141237.03813552856,96607774
progdyn,dataset1,5000,8579.62965965271,2905373
progdyn,dataset1,5000,7187.124967575073,3020649
progdyn,dataset1,5000,7088.05513381958,2893429
progdyn,dataset1,5000,7082.929849624634,2871943
progdyn,dataset1,5000,7107.802867889404,2993323
progdyn,dataset1,5000,7102.0801067352295,2948410
progdyn,dataset1,5000,7148.5631465911865,2979388
progdyn,dataset1,5000,7466.094017028809,2884628
progdyn,dataset1,5000,7211.209058761597,3026427
progdyn,dataset1,5000,7367.585182189941,2927396
progdyn,dataset1,500,6040.984153747559,84551
progdyn,dataset1,500,5979.250192642212,89720
progdyn,dataset1,500,6039.217233657837,80224
progdyn,dataset1,500,5970.6549644470215,85961
progdyn,dataset1,500,6047.811031341553,88247
progdyn,dataset1,500,5942.8369998931885,87318
progdyn,dataset1,500,6152.029991149902,85130
progdyn,dataset1,500,5975.738048553467,89663
progdyn,dataset1,500,5894.6239948272705,87142
progdyn,dataset1,500,6115.691184997559,82732
