algo,emplacement,taille,temps,hauteur
vorace,dataset1,100000,680.6981563568115,61233621
vorace,dataset1,100000,392.61388778686523,65170169
vorace,dataset1,100000,408.7941646575928,58774521
vorace,dataset1,100000,494.7819709777832,62946973
vorace,dataset1,100000,609.8220348358154,63840041
vorace,dataset1,100000,450.0257968902588,58971150
vorace,dataset1,100000,410.9539985656738,64938220
vorace,dataset1,100000,490.46921730041504,63130673
vorace,dataset1,100000,395.36595344543457,60420562
vorace,dataset1,100000,579.3719291687012,60870410
vorace,dataset1,10000,39.82806205749512,2715328
vorace,dataset1,10000,39.05320167541504,2665704
vorace,dataset1,10000,41.426897048950195,2662895
vorace,dataset1,10000,42.27304458618164,2531428
vorace,dataset1,10000,35.98809242248535,2897146
vorace,dataset1,10000,41.89586639404297,2857921
vorace,dataset1,10000,38.19584846496582,2618713
vorace,dataset1,10000,65.67573547363281,2591737
vorace,dataset1,10000,51.42498016357422,2800472
vorace,dataset1,10000,56.35476112365723,2784293
vorace,dataset1,1000,3.1468868255615234,106660
vorace,dataset1,1000,7.125139236450195,112673
vorace,dataset1,1000,2.8150081634521484,126139
vorace,dataset1,1000,3.0279159545898438,131241
vorace,dataset1,1000,3.3299922943115234,120180
vorace,dataset1,1000,9.097814559936523,114818
vorace,dataset1,1000,7.959127426147461,104753
vorace,dataset1,1000,3.2172203063964844,119765
vorace,dataset1,1000,9.56106185913086,123736
vorace,dataset1,1000,2.8488636016845703,97461
vorace,dataset1,100,0.42700767517089844,4040
vorace,dataset1,100,0.3693103790283203,4388
vorace,dataset1,100,0.6260871887207031,3313
vorace,dataset1,100,0.4489421844482422,4799
vorace,dataset1,100,0.4048347473144531,4463
vorace,dataset1,100,0.4019737243652344,3519
vorace,dataset1,100,0.34928321838378906,4525
vorace,dataset1,100,0.3578662872314453,4362
vorace,dataset1,100,0.3781318664550781,3173
vorace,dataset1,100,0.35190582275390625,4988
vorace,dataset1,50000,209.1069221496582,24851450
vorace,dataset1,50000,215.85822105407715,25517710
vorace,dataset1,50000,280.96723556518555,23381921
vorace,dataset1,50000,320.71709632873535,26370535
vorace,dataset1,50000,328.40609550476074,25788852
vorace,dataset1,50000,253.29303741455078,25059830
vorace,dataset1,50000,206.79807662963867,24755518
vorace,dataset1,50000,212.23902702331543,24114126
vorace,dataset1,50000,266.5228843688965,25699009
vorace,dataset1,50000,389.96100425720215,25407794
vorace,dataset1,5000,20.407915115356445,1034652
vorace,dataset1,5000,84.04803276062012,1044844
vorace,dataset1,5000,50.79817771911621,977784
vorace,dataset1,5000,345.0467586517334,1095373
vorace,dataset1,5000,64.5906925201416,969434
vorace,dataset1,5000,34.19899940490723,1088634
vorace,dataset1,5000,22.897005081176758,1099192
vorace,dataset1,5000,19.670963287353516,1068617
vorace,dataset1,5000,19.82402801513672,1041549
vorace,dataset1,5000,35.16101837158203,1115820
vorace,dataset1,500,9.921073913574219,45086
vorace,dataset1,500,1.7020702362060547,45411
vorace,dataset1,500,1.4600753784179688,37294
vorace,dataset1,500,2.0470619201660156,41649
vorace,dataset1,500,2.1409988403320312,40914
vorace,dataset1,500,7.960081100463867,42468
vorace,dataset1,500,1.4548301696777344,41978
vorace,dataset1,500,8.699893951416016,46334
vorace,dataset1,500,1.6849040985107422,49090
vorace,dataset1,500,1.9140243530273438,39752
